4.000 	 1.000

	NoCutoff

N		 time
150		time = 65.980s
160		time = 70.595s
170		time = 73.936s
180		time = 84.639s
190		time = 90.424s
200		time = 107.659s
210		time = 92.322s
220		time = 99.130s
230		time = 107.223s
240		time = 103.663s
250		time = 108.288s
260		time = 112.857s
270		time = 116.490s
280		time = 121.090s
290		time = 125.336s
300		time = 129.505s

	Ewald

N		 time
150		time = 74.474s
160		time = 79.747s
170		time = 84.604s
180		time = 89.663s
190		time = 94.492s
200		time = 99.670s
210		time = 106.807s
220		time = 109.136s
230		time = 114.509s
240		time = 119.258s
250		time = 124.551s
260		time = 129.120s
270		time = 134.045s
280		time = 138.931s
290		time = 143.615s
300		time = 149.154s

	PME

N		 time
150		time = 6.872s
160		time = 7.294s
170		time = 7.744s
180		time = 8.228s
190		time = 8.650s
200		time = 9.052s
210		time = 9.491s
220		time = 9.972s
230		time = 10.411s
240		time = 10.868s
250		time = 11.266s
260		time = 11.687s
270		time = 12.156s
280		time = 12.638s
290		time = 13.316s
300		time = 13.563s

Water box with 6282 atoms
